client_id,Variation,age_group,gender_clean
8320017,Test,30–45,Male
5887227,Test,30–45,Unknown
949210,Test,45–60,Male
3751049,Control,<30,Unknown
9268841,Test,45–60,Female
1404893,Control,30–45,Female
9336495,Control,<30,Unknown
4744361,Control,60+,Male
5022038,Test,45–60,Female
461846,Control,60+,Female
2040881,Control,30–45,Unknown
8675285,Test,60+,Female
7474517,Control,45–60,Unknown
9207047,Test,45–60,Female
8893466,Test,60+,Unknown
2797397,Control,45–60,Unknown
7340414,Control,60+,Female
298590,Test,60+,Male
6930182,Test,45–60,Unknown
5255030,Test,45–60,Female
3827180,Control,45–60,Male
297472,Control,60+,Unknown
6960009,Control,60+,Male
4520186,Test,45–60,Female
3369137,Control,60+,Male
7582150,Control,30–45,Male
9364005,Test,30–45,Unknown
8860992,Control,60+,Female
1638971,Test,60+,Female
8861365,Test,30–45,Unknown
2346575,Test,60+,Male
304982,Control,30–45,Female
863704,Control,45–60,Unknown
7448926,Control,30–45,Unknown
4514754,Control,45–60,Male
1373405,Test,60+,Male
2735635,Test,45–60,Male
2986194,Test,30–45,Unknown
932489,Test,<30,Unknown
8753284,Test,30–45,Male
6773537,Test,30–45,Unknown
1314809,Control,30–45,Unknown
2615801,Test,<30,Unknown
1928906,Control,60+,Female
1272344,Test,60+,Male
3045158,Control,60+,Male
1983898,Control,60+,Unknown
4876132,Test,30–45,Female
6371350,Test,30–45,Unknown
8125499,Test,45–60,Female
8852099,Control,30–45,Female
3089722,Control,45–60,Male
2312741,Test,60+,Unknown
2606054,Test,30–45,Male
728102,Test,60+,Female
9219098,Control,60+,Male
8295735,Control,45–60,Female
2839247,Control,30–45,Male
8031718,Control,60+,Male
8213521,Control,45–60,Female
9937888,Test,<30,Female
6559023,Control,45–60,Unknown
4577049,Control,30–45,Unknown
3030274,Control,60+,Unknown
6330488,Test,<30,Unknown
8550901,Control,30–45,Male
8375573,Test,30–45,Unknown
9749944,Control,30–45,Unknown
8627399,Control,45–60,Unknown
3875133,Test,60+,Female
4129281,Test,30–45,Male
5955812,Test,60+,Male
2619480,Control,45–60,Male
5836504,Test,45–60,Unknown
7021345,Control,45–60,Female
2006775,Test,45–60,Male
8968789,Control,45–60,Unknown
3097635,Test,<30,Male
7928244,Test,30–45,Female
6362594,Control,60+,Male
5586955,Test,30–45,Unknown
5449569,Test,60+,Female
9340301,Control,60+,Unknown
8962467,Control,30–45,Male
9173795,Test,30–45,Male
7543252,Control,<30,Female
6637378,Test,<30,Unknown
3836344,Control,30–45,Unknown
1324064,Control,45–60,Unknown
1527623,Control,<30,Male
1758566,Control,30–45,Unknown
7397258,Control,45–60,Male
269636,Control,30–45,Unknown
5180590,Test,30–45,Male
9750016,Control,<30,Female
242235,Test,30–45,Male
8136342,Control,60+,Unknown
8413740,Control,60+,Female
4145746,Test,45–60,Male
8586525,Test,<30,Unknown
3667191,Test,30–45,Female
7882288,Test,45–60,Female
9669255,Test,45–60,Unknown
6571403,Control,60+,Male
2763758,Control,45–60,Female
5245124,Test,30–45,Male
260044,Test,30–45,Unknown
478808,Test,30–45,Unknown
4766855,Test,45–60,Female
2153015,Control,30–45,Female
270682,Control,60+,Unknown
3272906,Test,<30,Unknown
8150031,Test,<30,Unknown
8876038,Test,<30,Female
6949668,Control,60+,Male
5457087,Test,30–45,Female
3766006,Test,60+,Unknown
3394078,Test,<30,Unknown
5625895,Control,30–45,Unknown
1667795,Control,45–60,Unknown
7013769,Control,30–45,Unknown
6365047,Test,45–60,Male
4071532,Test,60+,Male
7991318,Control,45–60,Female
5316428,Control,30–45,Female
4674528,Control,30–45,Unknown
3640838,Control,60+,Unknown
8537506,Test,<30,Unknown
1459001,Control,60+,Male
4028430,Control,45–60,Male
6444330,Control,45–60,Female
3788589,Control,30–45,Male
8621093,Test,30–45,Female
1892368,Control,30–45,Female
3154922,Control,60+,Unknown
5025952,Test,45–60,Female
3069127,Control,60+,Unknown
1790963,Test,30–45,Female
4701250,Control,60+,Male
7751717,Test,<30,Male
6770720,Control,60+,Male
8605475,Control,<30,Unknown
5966661,Test,<30,Unknown
2580200,Control,30–45,Female
4765130,Test,45–60,Female
5008443,Test,45–60,Female
6590646,Test,30–45,Female
5977906,Control,60+,Female
5105149,Control,<30,Female
4866771,Test,60+,Unknown
2335870,Test,60+,Female
3710401,Test,45–60,Male
5092873,Test,60+,Male
5487813,Test,<30,Unknown
29595,Control,30–45,Unknown
2652105,Control,<30,Unknown
3367240,Test,<30,Unknown
848688,Test,30–45,Male
8486666,Control,45–60,Unknown
3688173,Test,60+,Unknown
1919322,Test,<30,Female
8160451,Control,60+,Female
2111947,Test,<30,Unknown
1939550,Control,45–60,Male
1352216,Control,30–45,Female
8402909,Control,60+,Unknown
1672032,Control,45–60,Unknown
7539703,Control,30–45,Unknown
468552,Control,60+,Male
861316,Test,60+,Unknown
1113707,Control,45–60,Unknown
9337989,Test,45–60,Unknown
669111,Control,30–45,Female
9869697,Test,<30,Unknown
5742352,Control,<30,Male
3879152,Test,60+,Male
172858,Test,30–45,Unknown
94552,Test,60+,Male
126090,Control,60+,Male
4937056,Control,<30,Male
6598485,Control,45–60,Male
1951762,Test,45–60,Female
1887639,Control,60+,Unknown
7058363,Control,45–60,Unknown
259228,Test,45–60,Female
2735502,Test,30–45,Female
9552319,Control,60+,Unknown
7082310,Test,60+,Male
1183663,Control,45–60,Male
6601330,Test,45–60,Unknown
4863224,Test,<30,Unknown
3979917,Control,60+,Male
4704745,Test,30–45,Unknown
409987,Test,60+,Unknown
7305586,Control,<30,Female
1677722,Test,30–45,Unknown
8827174,Test,30–45,Female
3283879,Control,<30,Male
9282426,Control,45–60,Male
480995,Test,30–45,Unknown
432789,Test,45–60,Female
7872084,Control,60+,Male
9256349,Control,60+,Female
7693596,Test,<30,Unknown
6947535,Test,45–60,Male
5851688,Control,45–60,Male
3639173,Test,60+,Unknown
8444793,Test,<30,Unknown
3812786,Test,45–60,Female
1597883,Test,<30,Unknown
9107799,Control,<30,Female
171583,Test,30–45,Female
9220017,Control,60+,Male
4952273,Control,30–45,Female
6717435,Control,30–45,Unknown
4315514,Test,60+,Male
3477878,Test,30–45,Female
5156720,Control,30–45,Female
9812753,Control,30–45,Unknown
976546,Control,30–45,Male
4244298,Test,60+,Female
2000326,Control,<30,Unknown
8051726,Test,45–60,Unknown
1266731,Control,45–60,Male
2725837,Control,45–60,Male
3576276,Control,<30,Unknown
9255104,Control,45–60,Female
4015423,Test,30–45,Unknown
2570380,Control,45–60,Unknown
7787484,Test,45–60,Male
8211265,Test,45–60,Unknown
6909769,Test,<30,Unknown
4711787,Control,45–60,Male
9839402,Control,60+,Unknown
1433566,Control,45–60,Unknown
165900,Test,60+,Unknown
2515293,Test,30–45,Female
1891378,Control,45–60,Male
3543667,Test,60+,Unknown
8516565,Test,45–60,Male
8755578,Control,60+,Female
2621982,Control,30–45,Unknown
8699444,Control,45–60,Male
4246419,Control,30–45,Unknown
2968201,Test,30–45,Male
2414386,Control,<30,Unknown
3449388,Control,60+,Female
730714,Test,30–45,Female
4933730,Test,30–45,Female
6842137,Control,45–60,Unknown
704508,Test,<30,Unknown
2475916,Control,45–60,Unknown
5146401,Control,45–60,Female
1682543,Control,30–45,Female
700784,Control,30–45,Female
3158341,Test,60+,Male
7425144,Test,<30,Male
6671465,Test,<30,Unknown
4399785,Test,30–45,Unknown
6018574,Test,<30,Unknown
7074966,Test,30–45,Male
286117,Control,60+,Male
8612264,Test,60+,Male
9838801,Control,45–60,Male
8212764,Control,60+,Female
7313502,Test,60+,Male
